PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2017-0336,6/27/2017,FOB - Field Operations Bureau,2nd District,C Platoon,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,CEW Exhibited/Laser,L1,None detected,Yes,Black,Male,33,8,0 feet to 1 feet,Male,Black,17,Small,6'1'' to 6'3'',No,No,Yes,,Escape,No
FTN2017-0408,8/12/2017,FOB - Field Operations Bureau,3rd District,D.I.U.,Persons,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Force (Take Down),L2,Unknown Drugs,Yes,White,Male,40,15,0 feet to 1 feet,Male,White,25,Small,5'7'' to 5'9'',Yes,Yes,No,,Refusal of Verbal Commands,No
FTN2020-0241,8/20/2020,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,36,15,4 feet to 6 feet,Male,Black,56,Medium,5'4'' to 5'6'',No,Yes,Yes,,Other,No
FTN2024-0096,3/17/2024,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Good,Clear Conditions,6,1,Force (Escort Tech) | Hands | Force (Escort Tech) | Hands | Force (Escort Tech) | Hands,L1 | L1 | L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes | Yes | Yes,White | White | Not Specified | Not Specified | White | White,Male | Male | Male | Male | Male | Male,45 | 45 | 30 | 30 | 27 | 27,20 | 20 | 5 | 5 | 2 | 2,*Direct Contact,Male,Black,32,Medium,5'10'' to 6'0'',No,Yes,No,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2018-0009,1/10/2018,FOB - Field Operations Bureau,8th District,,,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Force (Take Down),L2,Alchohol,Yes,White,Male,48,26,0 feet to 1 feet,Male,White,25,Small,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2017-0266,5/27/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,CEW Deployment,L2,Unknown,No,Black,Male,58,44,1 feet to 3 feet,Male,White,,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,Yes
FTN2017-0492,9/14/2017,FOB - Field Operations Bureau,4th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,3,1,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,None detected,No | Yes | No,Black | Black | Black,Male | Male | Male,43 | 29 | 29,17 | 8 | 8,1 feet to 3 feet,Male,Black,19,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No | No | No
FTN2019-0103,3/20/2019,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Unknown Working Status,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Takedown (no injury) | CEW Deployment,L1 | L2,Unknown,Yes | Yes,White | White,Male | Male,43 | 43,7 | 7,0 feet to 1 feet,Male,Black,44,XLarge,5'0'' to 5'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0413,9/26/2023,FOB - Field Operations Bureau,5th District,D.I.U.,Property,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,3,1,CEW Deployment | CEW Deployment | Force (Take Down),L2 | L2 | L2,Unknown,No | Yes | Yes,White | White | White,Male | Male | Male,46 | 46 | 46,15 | 15 | 15,*Direct Contact,Male,Black,54,Medium,5'10'' to 6'0'',No,Yes,Yes,,Battery on Police Officer,No | No | No
FTN2023-0495,12/13/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,CEW Deployment,L2,Mentally unstable,Yes,Black,Female,40,3,11 feet to 14 feet,Male,Black,,Medium,5'7'' to 5'9'',No,Yes,Yes,,Other,No
FTN2017-0562,10/29/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Hands,L1,Alchohol,Yes,Black,Male,36,9,0 feet to 1 feet,Male,White,31,Medium,6'1'' to 6'3'',No,No,No,,Resisting Lawful Arrest,No
FTN2019-0028,1/22/2019,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,33,9,1 feet to 3 feet,Male,Black,36,Small,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2024-0210,6/8/2024,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Regular Working,Between 7am - 7pm,Completed,UOF Justified With Policy Violation,Other,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol and unknown drugs,Yes,Asian/Pacific Islander,Male,41,15,*Direct Contact,Male,Black,25,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0225,8/4/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | CEW Deployment,L2 | L2,Mentally unstable,Yes | No,White | Black,Male | Male,33 | 57,15 | 29,0 feet to 1 feet,Female,Black,65,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Officer w/Weapon,No | No
FTN2020-0246,8/23/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,36,5,7 feet to 10 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,No,,Other,No
FTN2019-0174,5/11/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Call for Service,Poor,Rainy Conditions - Light,2,1,CEW Deployment | Firearm (Exhibited),L2 | L1,Unknown,No | No,White | White,Female | Male,44 | 28,16 | 6,7 feet to 10 feet,Male,Black,52,Medium,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No | No
FTN2017-0321,6/25/2017,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Force (Take Down),L2,Unknown,Yes,White,Male,44,15,0 feet to 1 feet,Male,White,38,Medium,5'7'' to 5'9'',No,No,Yes,,Battery on Police Officer,No
FTN2021-0329,10/16/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,27,4,11 feet to 14 feet,Male,Black,20,Small,> 6'3'',No,No,No,,Resisting Lawful Arrest,No
FTN2017-0019,1/16/2017,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,27,9,7 feet to 10 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0095,3/10/2019,FOB - Field Operations Bureau,8th District,C Platoon,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,38,20,1 feet to 3 feet,Male,Black,42,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2017-0088,2/17/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,2,Force (Take Down) | Firearm (Exhibited),L2 | L1,None detected | None detected,Yes | Yes,White | White,Male | Male,27 | 31,9 | 9,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,19 | 21,Large | Large,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2019-0404,12/31/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,32,15,15 feet to 18 feet,Male,Black,41,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2017-0150,3/23/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,5,1,Hands | Head Strike (No Wep) | Hands | Force (Take Down) | Hands,L1 | L3 | L1 | L2 | L1,None detected,Yes | Yes | Yes | No | No,Black | White | White | Black | Black,Male | Male | Male | Male | Male,29 | 27 | 31 | 25 | 29,10 | 9 | 9 | 9 | 9,0 feet to 1 feet,Male,Black,28,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | Yes | No | No | No
FTN2023-0307,6/30/2023,ISB - Investigation and Support Bureau,Crime Lab and Evidence Division,Evidence,Staff,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,1,Hands | Hands | Hands,L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | White,Female | Male | Male,42 | 34 | 29,16 | 11 | 1,0 feet to 1 feet,Male,Black,34,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2024-0112,3/28/2024,FOB - Field Operations Bureau,8th District,Unknown,Patrol,Paid Detail,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,3,1,Firearm (Exhibited) | CEW Deployment | CEW Deployment,L1 | L2 | L2,Mentally unstable,No | No | Yes,Black | Black | White,Female | Male | Male,41 | 46 | 30,15 | 4 | 1,*Direct Contact,Male,Black,34,Medium,6'1'' to 6'3'',Yes,Yes,Yes,,Refusal of Verbal Commands,No | No | No
FTN2021-0291,9/14/2021,FOB - Field Operations Bureau,7th District,C Platoon,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Other,2,1,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Black | Black,Male | Male,52 | 41,16 | 4,0 feet to 1 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2024-0084,3/4/2024,FOB - Field Operations Bureau,6th District,Unknown,Investigations,Paid Detail,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Rainy Conditions - Medium,5,1,Takedown (no injury) | Other | Takedown (no injury) | Takedown (no injury) | Head Strike (No Wep),L1 | L2 | L1 | L1 | L3,Unknown,No | Yes | No | No | No,Black | Black | White | Asian/Pacific Islander | Asian/Pacific Islander,Male | Male | Male | Male | Male,34 | 34 | 39 | 32 | 32,8 | 8 | 8 | 8 | 8,*Direct Contact,Male,Black,46,Large,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2018-0333,9/6/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,4,1,Firearm (Exhibited) | CEW Deployment | Firearm (Exhibited) | CEW Deployment,L1 | L2 | L1 | L2,Unknown,No | No | No | No,Hispanic | Hispanic | White | White,Male | Male | Male | Male,31 | 31 | 27 | 27,15 | 15 | 6 | 6,1 feet to 3 feet,Male,Black,55,Medium,5'10'' to 6'0'',No,No,No,,Refusal of Verbal Commands,No | No | No | No
FTN2017-0510,9/26/2017,FOB - Field Operations Bureau,3rd District,C Platoon,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,2,1,Force (Take Down) | Force (Take Down),L2 | L2,Mentally unstable,Yes | Yes,White | Hispanic,Male | Male,24 | 40,8 | 7,0 feet to 1 feet,Male,Black,27,Medium,6'1'' to 6'3'',Yes,Yes,No,,Refusal of Verbal Commands,No | No
FTN2017-0240,5/13/2017,FOB - Field Operations Bureau,3rd District,C Platoon,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,Force (Take Down),L2,Alchohol,Yes,White,Male,24,9,0 feet to 1 feet,Female,Black,26,Large,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,No
FTN2019-0039,2/1/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Heavy,1,1,Force (Escort Tech),L1,Mentally unstable,Yes,White,Male,32,15,0 feet to 1 feet,Female,White,32,Small,< 5'0'',No,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0552,11/5/2016,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,31,8,19 feet to 21 feet,Male,Black,24,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2017-0487,9/14/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,26 | 26,8 | 8,1 feet to 3 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Refusal of Verbal Commands,No | No
FTN2023-0069,2/9/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,29,4,0 feet to 1 feet,Male,Black,15,Large,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2018-0398,10/28/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Other,1,1,Hands,L1,Unknown,Yes,White,Male,32,10,0 feet to 1 feet,Male,Black,30,Medium,5'10'' to 6'0'',No,No,No,,Refusal of Verbal Commands,No
FTN2020-0244,8/22/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,36,7,1 feet to 3 feet,Male,Black,29,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2019-0003,1/1/2019,FOB - Field Operations Bureau,8th District,Staff,,Paid Detail,Between 11pm-7am,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,Hands,L1,Alchohol,Yes,White,Male,54,36,1 feet to 3 feet,Male,White,44,Large,5'7'' to 5'9'',Yes,Yes,Yes,,Battery on Police Officer,Yes
FTN2017-0612,12/2/2017,FOB - Field Operations Bureau,8th District,,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Foggy Condition,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,39,10,11 feet to 14 feet,Male,Black,53,Medium,5'0'' to 5'3'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2023-0402,9/18/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,3,1,- Hands (with injury) | Hands | Hands,L2 | L1 | L1,None detected,Yes | Yes | Yes,Black | Black | Black,Female | Male | Female,40 | 42 | 40,3 | 15 | 19,*Direct Contact,Male,Black,19,Small,5'4'' to 5'6'',Yes,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2017-0397,8/6/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,2,2,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected | None detected,Yes | Yes,Black | White,Male | Male,29 | 27,10 | 9,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,19 | 27,Small | Small,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No
FTN2017-0415,8/14/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Other,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | No,White | Black,Male | Male,27 | 27,9 | 8,7 feet to 10 feet,Male,Black,35,Medium,5'4'' to 5'6'',No,No,Yes,,Escape,No | No
FTN2020-0350,12/4/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Unknown Working Status,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Not Specified | White,Male | Male,24 | 29,6 | 6,11 feet to 14 feet,Male,Black,25,Medium,6'1'' to 6'3'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2017-0351,7/10/2017,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,CEW Deployment,L2,Unknown,No,White,Male,31,10,4 feet to 6 feet,Male,White,40,Large,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2018-0163,5/1/2018,ISB - Investigation and Support Bureau,Special Investigations Division,Intelligence Section,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,4,4,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | Yes | Yes | Yes,White | White | Not Specified | White,Male | Male | Male | Male,45 | 29 | 29 | 34,24 | 10 | 10 | 9,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Female | Male | Male,Black | Black | Black | Black,23 | 24 | 19 | 20,Medium | Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No | No,No | No | No | No,Yes | Yes | Yes | Yes,,Weapon Exhibited,No | No | No | No
FTN2020-0130,4/28/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Other,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol and unknown drugs,Yes | Yes,White | White,Male | Male,51 | 27,19 | 6,1 feet to 3 feet,Male,Black,35,Small,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No | No
FTN2016-0537,10/30/2016,FOB - Field Operations Bureau,3rd District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1,Handcuffed Subject,L4,Alchohol,Yes,White,Male,46,15,0 feet to 1 feet,Male,Hispanic,23,Large,6'1'' to 6'3'',Yes,No,Yes,,Battery on Police Officer,No
FTN2021-0248,8/11/2021,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,1,Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury),L2 | L2 | L2,Mentally unstable,Yes | Yes | Yes,White | White | White,Male | Male | Female,34 | 27 | 29,9 | 7 | 4,0 feet to 1 feet,Female,White,29,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2021-0330,10/16/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,27,6,1 feet to 3 feet,Male,Black,21,Small,> 6'3'',No,No,Yes,,Other,No
FTN2020-0344,11/27/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Mentally unstable,Yes | No,Black | Black,Female | Female,35 | 37,15 | 8,1 feet to 3 feet,Female,Black,0,Small,5'4'' to 5'6'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2018-0336,9/8/2018,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Alchohol,Yes,Black,Female,28,0,7 feet to 10 feet,Male,White,0,Large,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2017-0592,11/8/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,6,5,Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1 | L1,Unknown | Unknown | Unknown | Unknown | Unknown,Yes | Yes | Yes | No | Yes | Yes,White | Black | White | Black | White | Black,Male | Male | Male | Male | Male | Male,39 | 28 | 43 | 40 | 47 | 29,17 | 14 | 14 | 21 | 29 | 11,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Female | Male | Male | Female | Male,Black | Black | Black | Black | Black,38 | 28 | 30 | 18 | 27,,,No | No | No | No | No,No | No | No | No | No,Yes | Yes | Yes | Yes | Yes,,Tactical Deployments,No | No | No | No | No | No
