PIB File Number,Subject Influencing Factors,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested
FTN2017-0088, None detected, 0 feet to 1 feet, Male, Black, 21, Large, 5'10'' to 6'0'', No, No, Yes
FTN2019-0404,Alchohol,15 feet to 18 feet,Male,Black,41,Medium,5'10'' to 6'0'',No,No,Yes
FTN2017-0150,None detected,0 feet to 1 feet,Male,Black,28,Small,5'4'' to 5'6'',Yes,Yes,Yes
FTN2023-0307,Unknown,0 feet to 1 feet,Male,Black,34,Medium,5'7'' to 5'9'',No,No,Yes
FTN2024-0112,Mentally unstable,*Direct Contact,Male,Black,34,Medium,6'1'' to 6'3'',Yes,Yes,Yes
FTN2021-0291,Unknown,0 feet to 1 feet,Male,Black,21,Medium,5'7'' to 5'9'',No,No,Yes
FTN2024-0084,Unknown,*Direct Contact,Male,Black,46,Large,6'1'' to 6'3'',No,No,Yes
FTN2018-0333,Unknown,1 feet to 3 feet,Male,Black,55,Medium,5'10'' to 6'0'',No,No,No
FTN2017-0510,Mentally unstable,0 feet to 1 feet,Male,Black,27,Medium,6'1'' to 6'3'',Yes,Yes,No
FTN2017-0240,Alchohol,0 feet to 1 feet,Female,Black,26,Large,5'4'' to 5'6'',No,No,Yes
FTN2019-0039,Mentally unstable,0 feet to 1 feet,Female,White,32,Small,< 5'0'',No,Yes,No
FTN2016-0552,Unknown,19 feet to 21 feet,Male,Black,24,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2017-0487,Unknown,1 feet to 3 feet,Male,Black,47,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2023-0069,None detected,0 feet to 1 feet,Male,Black,15,Large,5'10'' to 6'0'',No,Yes,Yes
FTN2018-0398,Unknown,0 feet to 1 feet,Male,Black,30,Medium,5'10'' to 6'0'',No,No,No
FTN2020-0244,Unknown,1 feet to 3 feet,Male,Black,29,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0003,Alchohol,1 feet to 3 feet,Male,White,44,Large,5'7'' to 5'9'',Yes,Yes,Yes
FTN2017-0612,Unknown,11 feet to 14 feet,Male,Black,53,Medium,5'0'' to 5'3'',No,No,Yes
FTN2023-0402,None detected,*Direct Contact,Male,Black,19,Small,5'4'' to 5'6'',Yes,No,Yes
FTN2017-0397,None detected ,1 feet to 3 feet ,Male ,Black ,19 ,Small ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2017-0397, None detected, 1 feet to 3 feet, Male, Black, 27, Small, 5'7'' to 5'9'', No, No, Yes
FTN2017-0415,None detected,7 feet to 10 feet,Male,Black,35,Medium,5'4'' to 5'6'',No,No,Yes
FTN2020-0350,None detected,11 feet to 14 feet,Male,Black,25,Medium,6'1'' to 6'3'',No,No,Yes
FTN2017-0351,Unknown,4 feet to 6 feet,Male,White,40,Large,5'10'' to 6'0'',No,Yes,Yes
FTN2018-0163,Unknown ,1 feet to 3 feet ,Male ,Black ,23 ,Medium ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2018-0163, Unknown , 1 feet to 3 feet , Female , Black , 24 , Medium , 5'10'' to 6'0'' , No , No , Yes 
FTN2018-0163, Unknown , 1 feet to 3 feet , Male , Black , 19 , Medium , 5'10'' to 6'0'' , No , No , Yes 
FTN2018-0163, Unknown, 1 feet to 3 feet, Male, Black, 20, Medium, 5'10'' to 6'0'', No, No, Yes
FTN2020-0130,Alchohol and unknown drugs,1 feet to 3 feet,Male,Black,35,Small,5'7'' to 5'9'',No,No,Yes
FTN2016-0537,Alchohol,0 feet to 1 feet,Male,Hispanic,23,Large,6'1'' to 6'3'',Yes,No,Yes
FTN2021-0248,Mentally unstable,0 feet to 1 feet,Female,White,29,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2021-0330,Unknown,1 feet to 3 feet,Male,Black,21,Small,> 6'3'',No,No,Yes
FTN2020-0344,Mentally unstable,1 feet to 3 feet,Female,Black,0,Small,5'4'' to 5'6'',No,Yes,Yes
FTN2018-0336,Alchohol,7 feet to 10 feet,Male,White,0,Large,5'10'' to 6'0'',No,No,Yes
FTN2017-0592,Unknown ,1 feet to 3 feet ,Female ,Black ,38 ,Unknown,Unknown,No ,No ,Yes 
FTN2017-0592, Unknown , 1 feet to 3 feet , Male , Black , 28 ,Unknown,Unknown, No , No , Yes 
FTN2017-0592, Unknown , 1 feet to 3 feet , Male , Black , 30 ,Unknown,Unknown, No , No , Yes 
FTN2017-0592, Unknown , 1 feet to 3 feet , Female , Black , 18 ,Unknown,Unknown, No , No , Yes 
FTN2017-0592, Unknown, 1 feet to 3 feet, Male, Black, 27,Unknown,Unknown, No, No, Yes
FTN2020-0206,Unknown,19 feet to 21 feet,Male,Unknown,Unknown,Small,5'0'' to 5'3'',No,No,No
FTN2020-0305,None detected,4 feet to 6 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2021-0356,Unknown,0 feet to 1 feet,Male,Black,35,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2021-0405,Mentally unstable,0 feet to 1 feet,Female,Black,21,Medium,5'7'' to 5'9'',No,Yes,No
FTN2021-0079,None detected,0 feet to 1 feet,Male,Black,27,Small,5'4'' to 5'6'',No,No,Yes
FTN2021-0080,Unknown,1 feet to 3 feet,Male,Black,46,Medium,Unknown,No,Yes,No
FTN2017-0597,Alchohol,4 feet to 6 feet,Male,Black,43,Large,5'10'' to 6'0'',No,Yes,Yes
FTN2017-0564,Alchohol,0 feet to 1 feet,Male,White,34,Medium,5'7'' to 5'9'',No,No,Yes
FTN2018-0416,Unknown,4 feet to 6 feet,Male,Hispanic,34,Medium,5'4'' to 5'6'',No,No,Yes
FTN2017-0599,Alchohol,15 feet to 18 feet,Male,Black,25,Medium,> 6'3'',No,No,No
FTN2018-0024,Alchohol,0 feet to 1 feet,Male,Hispanic,30,Medium,5'7'' to 5'9'',No,No,Yes
FTN2021-0344,Unknown,0 feet to 1 feet,Male,Black,34,Medium,5'4'' to 5'6'',No,No,Yes
FTN2018-0361,Mentally unstable ,0 feet to 1 feet ,Male ,Black ,14 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2018-0361, Mentally unstable, 0 feet to 1 feet, Male, Black, 34, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2018-0376,None detected,15 feet to 18 feet,Male,Black,20,Small,5'10'' to 6'0'',No,No,No
FTN2023-0427,None detected,11 feet to 14 feet,Male,Black,33,Medium,5'4'' to 5'6'',No,No,Yes
FTN2021-0340,Mentally unstable,0 feet to 1 feet,Male,White,0,Medium,6'1'' to 6'3'',No,No,Yes
FTN2021-0342,Unknown,0 feet to 1 feet,Male,Black,23,Small,5'4'' to 5'6'',No,No,Yes
FTN2019-0137,Unknown,4 feet to 6 feet,Male,White,32,Large,6'1'' to 6'3'',Yes,Yes,Yes
FTN2018-0117,Unknown,0 feet to 1 feet,Male,Black,20,Small,5'4'' to 5'6'',Yes,No,Yes
FTN2020-0169,Unknown,7 feet to 10 feet,Male,Black,32,Medium,5'4'' to 5'6'',No,No,Yes
FTN2020-0176,Unknown,1 feet to 3 feet,Male,Black,13,Small,5'7'' to 5'9'',No,No,Yes
FTN2021-0337,Mentally unstable,0 feet to 1 feet,Male,Black,35,Large,5'10'' to 6'0'',No,Yes,No
FTN2023-0519,Unknown,0 feet to 1 feet,Female,White,Unknown,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0532,Unknown,0 feet to 1 feet,Male,Black,43,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2020-0341,None detected,1 feet to 3 feet,Male,Black,41,Medium,5'0'' to 5'3'',No,No,No
FTN2017-0470,Unknown,1 feet to 3 feet,Male,Black,39,Medium,5'10'' to 6'0'',No,No,Yes
FTN2023-0210,Unknown ,1 feet to 3 feet ,Male ,Black ,20 ,Medium ,5'10'' to 6'0'' ,Yes ,Yes ,Yes 
FTN2023-0210, Unknown, 1 feet to 3 feet, Male, Black, 18, Medium, 5'10'' to 6'0'', Yes, Yes, Yes
FTN2021-0022,Unknown,4 feet to 6 feet,Male,Black,Unknown,Unknown,Unknown,No,Yes,No
FTN2018-0470,Unknown,19 feet to 21 feet,Male,Black,27,Large,5'10'' to 6'0'',No,No,Yes
FTN2019-0273,Unknown,0 feet to 1 feet,Female,Black,62,Small,5'0'' to 5'3'',Yes,No,Yes
FTN2022-0450,None detected,0 feet to 1 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2017-0254,Mentally unstable,1 feet to 3 feet,Male,Black,55,Medium,5'10'' to 6'0'',No,No,Yes
FTN2021-0372,None detected,0 feet to 1 feet,Male,Black,16,Small,5'7'' to 5'9'',No,Yes,Yes
FTN2024-0100,None detected,1 feet to 3 feet,Male,Black,25,Small,5'0'' to 5'3'',No,No,Yes
FTN2017-0576,None detected,1 feet to 3 feet,Female,Black,23,Medium,< 5'0'',Yes,Yes,Yes
FTN2018-0441,Unknown,1 feet to 3 feet,Male,White,44,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2022-0420,Unknown,0 feet to 1 feet,Male,Black,32,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2016-0065,Unknown,0 feet to 1 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0197,Unknown,15 feet to 18 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,No,Yes
FTN2018-0236,Alchohol and unknown drugs,11 feet to 14 feet,Male,White,0,Large,5'10'' to 6'0'',No,No,Yes
FTN2019-0177,Unknown ,1 feet to 3 feet ,Male ,Black ,32 ,Large ,6'1'' to 6'3'' ,No ,No ,Yes 
FTN2019-0177, Unknown , 1 feet to 3 feet , Male , Black , 23 , Large , 6'1'' to 6'3'' , No , No , Yes 
FTN2019-0177, Unknown, 1 feet to 3 feet, Male, Black, 26, Large, 6'1'' to 6'3'', No, No, Yes
FTN2020-0156,None detected,1 feet to 3 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2020-0145,None detected,4 feet to 6 feet,Male,Black,26,Large,5'10'' to 6'0'',No,No,Yes
FTN2018-0327,None detected,0 feet to 1 feet,Male,Black,23,Small,5'10'' to 6'0'',Yes,No,Yes
FTN2019-0242,Unknown ,1 feet to 3 feet ,Male ,Black ,45 ,Medium ,6'1'' to 6'3'' ,No ,No ,Yes 
FTN2019-0242, Unknown , 1 feet to 3 feet , Male , Black , 40 , Medium , 6'1'' to 6'3'' , No , No , Yes 
FTN2019-0242, Unknown , 1 feet to 3 feet , Male , Black , 33 , Medium , 6'1'' to 6'3'' , No , No , Yes 
FTN2019-0242, Unknown, 1 feet to 3 feet, Male, Black, 45, Medium, 6'1'' to 6'3'', No, No, Yes
FTN2024-0019,Mentally unstable,1 feet to 3 feet,Male,Black,54,Large,5'10'' to 6'0'',No,No,Yes
FTN2017-0546,Alchohol,22 feet to 25 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,No,Yes
FTN2018-0446,Unknown,1 feet to 3 feet,Male,White,29,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2017-0286,Mentally unstable,0 feet to 1 feet,Female,Black,15,Medium,5'4'' to 5'6'',No,No,No
FTN2017-0602,Alchohol,0 feet to 1 feet,Female,Black,19,Small,5'0'' to 5'3'',No,Yes,Yes
FTN2019-0016,Unknown Drugs,0 feet to 1 feet,Male,Black,41,Large,> 6'3'',Yes,Yes,Yes
FTN2019-0015,Unknown Drugs,0 feet to 1 feet,Male,Black,32,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2022-0099,Mentally unstable,0 feet to 1 feet,Male,Black,33,Small,5'7'' to 5'9'',No,Yes,No
FTN2017-0568,Unknown ,7 feet to 10 feet ,Male ,Black ,45 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2017-0568, Unknown , 7 feet to 10 feet , Female , Black , 12 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2017-0568, Unknown , 7 feet to 10 feet , Female , Black , 14 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2017-0568, Unknown, 7 feet to 10 feet, Male, Black, 15, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2024-0175,Unknown,1 feet to 3 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,Yes
FTN2017-0386,Unknown,0 feet to 1 feet,Male,Black,19,Small,5'4'' to 5'6'',No,No,Yes
FTN2021-0028,Alchohol and unknown drugs,0 feet to 1 feet,Male,Black,36,Large,5'10'' to 6'0'',No,Yes,Yes
FTN2019-0060,None detected,1 feet to 3 feet,Male,White,36,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0182,Alchohol ,1 feet to 3 feet ,Male ,White ,45 ,Large ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2020-0182, Alchohol, 1 feet to 3 feet, Female, White, 34, Large, 5'10'' to 6'0'', No, No, Yes
FTN2017-0488,Unknown ,15 feet to 18 feet ,Male ,Black ,24 ,Medium ,5'10'' to 6'0'' ,No ,No ,Yes 
FTN2017-0488, Unknown , 15 feet to 18 feet , Male , Black , 43 , Medium , 5'10'' to 6'0'' , No , No , Yes 
FTN2017-0488, Unknown , 15 feet to 18 feet , Female , Black , 61 , Medium , 5'10'' to 6'0'' , No , No , Yes 
FTN2017-0488, Unknown, 15 feet to 18 feet, Male, Black, 45, Medium, 5'10'' to 6'0'', No, No, Yes
FTN2018-0349,Unknown,11 feet to 14 feet,Unknown,Unknown,Unknown,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0131,Alchohol,15 feet to 18 feet,Male,White,50,Medium,5'10'' to 6'0'',No,No,Yes
FTN2016-0032,Alchohol and unknown drugs,1 feet to 3 feet,Female,Black,33,Medium,5'0'' to 5'3'',No,Yes,Yes
FTN2019-0301,Unknown,0 feet to 1 feet,Male,White,46,Small,5'4'' to 5'6'',Yes,No,Yes
FTN2021-0335,None detected,0 feet to 1 feet,Male,Black,26,Medium,5'10'' to 6'0'',No,No,Yes
FTN2024-0061,Alchohol,*Direct Contact,Female,White,31,Small,5'4'' to 5'6'',No,No,Yes
FTN2017-0381,Unknown Drugs,1 feet to 3 feet,Male,White,27,Large,6'1'' to 6'3'',No,Yes,Yes
FTN2019-0182,Alchohol and unknown drugs,0 feet to 1 feet,Female,White,Unknown,Small,5'0'' to 5'3'',No,Yes,No
FTN2021-0324,Alchohol and unknown drugs,1 feet to 3 feet,Female,Black,31,Medium,Unknown,Yes,Yes,Yes
FTN2018-0022,None detected,11 feet to 14 feet,Male,Black,17,Medium,5'4'' to 5'6'',No,No,No
FTN2021-0219,Unknown,Unknown,Female,White,32,Small,5'7'' to 5'9'',No,No,No
FTN2018-0379,Unknown,1 feet to 3 feet,Male,Black,34,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2017-0574,Mentally unstable,0 feet to 1 feet,Male,White,26,Medium,6'1'' to 6'3'',Yes,No,Yes
FTN2019-0110,Unknown ,1 feet to 3 feet ,Male ,Black ,20 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2019-0110, Unknown , 1 feet to 3 feet , Male , Black , 36 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2019-0110, Unknown , 1 feet to 3 feet , Male , Black , 43 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2019-0110, Unknown , 1 feet to 3 feet , Male , Black , 42 , Medium , 5'7'' to 5'9'' , No , No , Yes 
FTN2019-0110, Unknown, 1 feet to 3 feet, Female, Black, 19, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2024-0027,Mentally unstable,*Direct Contact,Female,Black,21,Medium,5'4'' to 5'6'',No,Yes,Yes
FTN2021-0045,Unknown,4 feet to 6 feet,Female,White,39,Small,< 5'0'',No,No,Yes
FTN2021-0083,None detected,0 feet to 1 feet,Male,Black,20,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0380,Mentally unstable,1 feet to 3 feet,Female,Black,46,Small,5'4'' to 5'6'',No,Yes,No
FTN2021-0287,Unknown,0 feet to 1 feet,Male,Black,Unknown,Small,< 5'0'',No,No,No
FTN2016-0456,Alchohol,Unknown,Male,Black,28,Unknown,Unknown,No,No,No
FTN2018-0277,Unknown,11 feet to 14 feet,Male,Black,27,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2020-0188,Alchohol and unknown drugs,0 feet to 1 feet,Male,Black,45,Small,5'7'' to 5'9'',Yes,Yes,Yes
FTN2019-0206,Unknown,1 feet to 3 feet,Male,Black,44,Medium,5'10'' to 6'0'',No,No,Yes
FTN2021-0371,Unknown,1 feet to 3 feet,Male,Black,13,Small,5'7'' to 5'9'',Yes,No,No
FTN2019-0208,Alchohol and unknown drugs,1 feet to 3 feet,Female,Black,37,Small,5'0'' to 5'3'',No,Yes,No
FTN2016-0150,None detected,11 feet to 14 feet,Male,Black,16,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2018-0047,Unknown,0 feet to 1 feet,Male,Black,21,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2018-0049,Alchohol,4 feet to 6 feet,Male,Black,25,Medium,6'1'' to 6'3'',No,No,Yes
FTN2018-0402,Mentally unstable,4 feet to 6 feet,Male,Black,52,Medium,5'10'' to 6'0'',Yes,Yes,No
FTN2018-0131,Alchohol,4 feet to 6 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0059,Unknown,0 feet to 1 feet,Male,Black,Unknown,Medium,5'7'' to 5'9'',Yes,No,Yes
FTN2021-0209,None detected,7 feet to 10 feet,Male,Black,0,Large,5'10'' to 6'0'',No,No,No
FTN2020-0370,Unknown ,15 feet to 18 feet ,Male ,Black ,0 ,Medium ,5'10'' to 6'0'' ,No ,No ,No 
FTN2020-0370, Unknown , 15 feet to 18 feet , Female , Black , 0 , Medium , 5'10'' to 6'0'' , No , No , No 
FTN2020-0370, Unknown, 15 feet to 18 feet, Female, Black, 0, Medium, 5'10'' to 6'0'', No, No, No
FTN2021-0033,Unknown ,11 feet to 14 feet ,Female , , ,Medium ,Unknown,No ,No ,Yes 
FTN2021-0033, Unknown, 11 feet to 14 feet, Male, Black, 29, Medium,Unknown, No, No, Yes
FTN2018-0079,Unknown ,1 feet to 3 feet ,Male ,Black ,25 ,Medium ,5'7'' to 5'9'' ,No ,Yes ,Yes 
FTN2018-0079, Unknown, 1 feet to 3 feet, Male, Black, 42, Medium, 5'7'' to 5'9'', No, Yes, Yes
FTN2017-0475,None detected,0 feet to 1 feet,Male,Black,29,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2018-0203,Mentally unstable,0 feet to 1 feet,Female,Black,21,Small,5'4'' to 5'6'',No,No,Yes
FTN2019-0228,Unknown,Unknown,Male,Black,18,Medium,5'4'' to 5'6'',No,No,Yes
FTN2017-0615,Alchohol and unknown drugs,1 feet to 3 feet,Male,Black,28,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0290,None detected,1 feet to 3 feet,Male,Black,35,Medium,5'10'' to 6'0'',No,No,Yes
FTN2024-0179,Unknown,11 feet to 14 feet,Male,Black,19,Medium,5'7'' to 5'9'',No,No,Yes
FTN2018-0162,Unknown,4 feet to 6 feet,Male,Black,Unknown,Medium,5'10'' to 6'0'',No,No,No
FTN2018-0341,Unknown,15 feet to 18 feet,Male,White,35,Medium,5'4'' to 5'6'',No,No,Yes
FTN2017-0253,Unknown,4 feet to 6 feet,Male,Black,48,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0303,Alchohol and unknown drugs,0 feet to 1 feet,Male,White,48,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2019-0133,Mentally unstable,4 feet to 6 feet,Male,White,32,XLarge,5'10'' to 6'0'',No,Yes,No
FTN2024-0049,Alchohol and unknown drugs,*Direct Contact,Male,Black,25,Medium,5'10'' to 6'0'',No,No,Yes
FTN2018-0184,Unknown,0 feet to 1 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,No
FTN2023-0080,None detected ,0 feet to 1 feet ,Female ,Black ,24 ,Medium ,5'7'' to 5'9'' ,No ,No ,Yes 
FTN2023-0080, None detected, 0 feet to 1 feet, Male, Black, 15, Medium, 5'7'' to 5'9'', No, No, Yes
FTN2017-0357,Unknown Drugs,0 feet to 1 feet,Male,Black,52,Small,5'7'' to 5'9'',No,No,Yes
FTN2021-0367,None detected,1 feet to 3 feet,Male,Black,26,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0105,Unknown,0 feet to 1 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0250,None detected ,1 feet to 3 feet ,Female ,Black ,18 ,Small ,5'0'' to 5'3'' ,No ,Yes ,Yes 
FTN2019-0250, None detected, 1 feet to 3 feet, Female, Black, 25, Small, 5'0'' to 5'3'', No, Yes, Yes
FTN2019-0184,Unknown,0 feet to 1 feet,Male,Black,0,Medium,5'7'' to 5'9'',No,No,No
FTN2021-0047,Unknown,7 feet to 10 feet,Male,Black,33,Medium,> 6'3'',No,No,Yes
FTN2019-0372,Mentally unstable,0 feet to 1 feet,Male,Black,16,Small,5'7'' to 5'9'',Yes,Yes,No
FTN2018-0034,Unknown,4 feet to 6 feet,Male,Black,32,Medium,5'10'' to 6'0'',No,No,Yes
FTN2018-0035,Unknown ,11 feet to 14 feet ,Male ,Black ,34 ,Small ,5'4'' to 5'6'' ,No ,No ,Yes 
FTN2018-0035, Unknown, 11 feet to 14 feet, Male, Black, 76, Small, 5'4'' to 5'6'', No, No, Yes
FTN2022-0010,Unknown,11 feet to 14 feet,Male,Black,48,Medium,5'7'' to 5'9'',No,No,Yes
FTN2018-0054,Alchohol,1 feet to 3 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,Yes
FTN2016-0533,Unknown Drugs,4 feet to 6 feet,Male,Black,16,Small,5'7'' to 5'9'',No,No,Yes
FTN2018-0088,None detected,1 feet to 3 feet,Male,Unknown,47,Medium,6'1'' to 6'3'',No,No,Yes
FTN2021-0101,None detected,4 feet to 6 feet,Male,Black,38,Medium,5'10'' to 6'0'',No,No,Yes
FTN2020-0276,Mentally unstable,0 feet to 1 feet,Male,Black,28,Medium,5'10'' to 6'0'',No,Yes,No
FTN2016-0553,Alchohol,15 feet to 18 feet,Male,Black,56,Medium,5'7'' to 5'9'',No,No,Yes
FTN2021-0348,Unknown,11 feet to 14 feet,Male,Black,42,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2019-0022,None detected,1 feet to 3 feet,Male,Black,39,Medium,6'1'' to 6'3'',No,No,Yes
FTN2017-0519,Unknown,0 feet to 1 feet,Male,Black,47,Large,5'10'' to 6'0'',Yes,Yes,Yes
FTN2017-0278,Unknown Drugs,1 feet to 3 feet,Male,White,33,Large,6'1'' to 6'3'',Yes,Yes,Yes
FTN2018-0465,Alchohol,11 feet to 14 feet,Male,Black,51,Large,6'1'' to 6'3'',No,No,Yes
FTN2017-0640,None detected,7 feet to 10 feet,Male,White,37,Small,5'4'' to 5'6'',No,No,Yes
FTN2020-0004,Unknown,0 feet to 1 feet,Male,White,23,Medium,5'10'' to 6'0'',Yes,Yes,Yes
FTN2018-0042,None detected,19 feet to 21 feet,Male,Black,57,Medium,5'10'' to 6'0'',No,No,No
FTN2019-0168,Unknown,4 feet to 6 feet,Male,Black,29,Medium,5'10'' to 6'0'',No,Yes,No
FTN2018-0235,Alchohol,1 feet to 3 feet,Male,White,52,Small,5'4'' to 5'6'',No,No,Yes
FTN2020-0217,None detected,4 feet to 6 feet,Male,Black,0,Small,5'4'' to 5'6'',No,No,Yes
FTN2021-0271,None detected,11 feet to 14 feet,Male,Black,34,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0249,Mentally unstable,7 feet to 10 feet,Male,White,28,Small,5'10'' to 6'0'',Yes,Yes,Yes
