PIB File Number,Use of Force Type,Use of Force Level,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Officer Injured
FTN2019-0235,Firearm (Exhibited),L1,No,Black,Male,32,0,No
FTN2019-0235,Hands,L1,Yes,Black,Male,32,0,No
FTN2024-0173,Firearm (Exhibited),L1,Yes,Black,Male,34,0,No
FTN2024-0022,Firearm (Exhibited),L1,Yes,Black,Male,37,0,No
FTN2024-0106,Hands,L1,Yes,Hispanic,Male,39,0,No
FTN2024-0143,Firearm (Exhibited),L1,Yes,Hispanic,Male,39,0,No
FTN2016-0076,Firearm (Exhibited),L1,Yes,Black,Male,39,0,No
FTN2016-0043,Firearm (Exhibited),L1,No,Black,Male,39,0,No
FTN2018-0317,Takedown (no injury),L1,Yes,Black,Male,41,0,No
FTN2019-0386,Firearm (Exhibited),L1,Yes,Black,Male,42,0,No
FTN2023-0531,Hands (with injury),L2,Yes,White,Male,42,0,No
FTN2024-0128,Hands,L1,Yes,White,Male,43,0,No
FTN2021-0359,Hands,L1,Yes,Black,Male,44,0,No
FTN2017-0354,Force (Take Down),L2,Yes,Black,Male,45,0,No
FTN2018-0074,Hands,L1,Yes,Black,Male,46,0,No
FTN2018-0074,Force (Take Down),L2,Yes,Black,Male,46,0,No
FTN2019-0096,Takedown (no injury),L1,Yes,Black,Male,47,0,No
FTN2017-0647,CEW Deployment,L2,No,White,Male,51,0,No
FTN2017-0630,Firearm (Exhibited),L1,Yes,White,Male,51,0,No
FTN2019-0314,Head Strike (No Wep),L3,Yes,Hispanic,Male,51,0,Yes
FTN2017-0651,Firearm (Exhibited),L1,No,White,Male,51,0,No
FTN2017-0183,Firearm (Exhibited),L1,Yes,White,Male,51,0,No
FTN2017-0281,Firearm (Exhibited),L1,Yes,White,Male,51,0,No
FTN2017-0207,Firearm (Exhibited),L1,Yes,White,Male,51,0,No
FTN2017-0169,Hands,L1,Yes,Black,Male,51,0,No
FTN2020-0270,Hands,L1,Yes,Black,Male,52,0,No
FTN2018-0059,CEW Exhibited/Laser,L1,Yes,White,Male,52,0,No
FTN2018-0058,Firearm (Exhibited),L1,Yes,White,Male,52,0,No
FTN2016-0523,Firearm (Exhibited),L1,Yes,White,Male,52,0,No
FTN2017-0149,CEW Exhibited/Laser,L1,No,White,Male,52,0,No
FTN2020-0313,Force (Take Down),L2,Yes,Black,Male,53,0,No
FTN2023-0470,Hands (with injury),L2,Yes,White,Female,53,0,No
FTN2021-0285,Hands,L1,Yes,Black,Male,53,0,No
FTN2020-0049,Firearm (Exhibited),L1,No,White,Male,54,0,No
FTN2020-0049,CEW Deployment,L2,No,White,Male,54,0,No
FTN2020-0108,Hands,L1,Yes,White,Male,54,0,No
FTN2020-0215,Hands,L1,Yes,White,Male,54,0,No
FTN2020-0215,Other,L1,Yes,White,Male,54,0,No
FTN2024-0132,Force (Escort Tech),L1,Yes,White,Female,54,0,No
FTN2022-0185,Hands (with injury),L2,Yes,Black,Male,55,0,No
FTN2016-0213,Hands,L1,No,Black,Male,55,0,No
FTN2016-0213,Hands,L1,Yes,Black,Male,55,0,No
FTN2022-0355,Hands,L1,Yes,White,Male,56,0,No
FTN2018-0198,Takedown (no injury),L1,Yes,White,Male,56,0,No
FTN2023-0353,Hands,L1,Yes,White,Female,56,0,No
FTN2023-0116,Takedown (no injury),L1,No,Black,Male,56,0,No
FTN2022-0487,Takedown (no injury),L1,Yes,White,Male,60,0,No
FTN2023-0526,Hands,L1,No,White,Male,21,1,No
FTN2024-0154,Hands,L1,Yes,American Indian/Alaska Native,Male,22,1,No
FTN2023-0414,Force (Take Down),L2,Yes,Black,Male,22,1,No
FTN2023-0320,CEW Deployment,L2,Yes,White,Male,22,1,No
FTN2023-0400,Hands,L1,Yes,White,Male,22,1,No
FTN2023-0421,Force (Take Down),L2,Yes,Black,Male,22,1,No
FTN2024-0108,Firearm (Exhibited),L1,No,White,Male,23,1,No
FTN2024-0108,Hands,L1,Yes,White,Male,23,1,No
FTN2024-0082,Force (Take Down),L2,Yes,White,Male,23,1,No
FTN2021-0342,Takedown (no injury),L1,Yes,Black,Male,24,1,No
FTN2024-0040,Takedown (no injury),L1,Yes,White,Male,24,1,No
FTN2024-0114,CEW Deployment,L2,Yes,White,Male,24,1,No
FTN2022-0488,Hands,L1,Yes,Black,Female,24,1,No
FTN2024-0132,Force (Escort Tech),L1,Yes,White,Male,26,1,No
FTN2023-0424,Hands,L1,Yes,White,Female,26,1,No
FTN2021-0421,Takedown (no injury),L1,No,White,Male,27,1,No
FTN2021-0296,Takedown (w/injury),L2,Yes,White,Male,27,1,No
FTN2024-0126,Other,L2,Yes,White,Female,27,1,No
FTN2022-0101,Firearm (Exhibited),L1,Yes,White,Male,28,1,No
FTN2023-0524,Firearm (Exhibited),L1,Yes,Black,Male,28,1,No
FTN2022-0192,Hands,L1,No,White,Male,28,1,Yes
FTN2022-0192,CEW Deployment,L2,No,White,Male,28,1,Yes
FTN2023-0349,Firearm (Exhibited),L1,Yes,Black,Male,28,1,No
FTN2023-0430,Hands,L1,Yes,White,Male,28,1,No
FTN2022-0109,Firearm (Exhibited),L1,No,White,Male,28,1,No
FTN2023-0197,Force (Escort Tech),L1,Yes,Black,Male,28,1,No
FTN2023-0197,Hands,L1,Yes,Black,Male,28,1,No
FTN2022-0126,Firearm (Exhibited),L1,Yes,White,Male,28,1,No
FTN2022-0169,Firearm (Exhibited),L1,No,White,Male,28,1,No
FTN2022-0169,Takedown (w/injury),L2,Yes,White,Male,28,1,No
FTN2023-0307,Hands,L1,Yes,White,Male,29,1,No
FTN2024-0064,Baton (non-strike),L1,Yes,White,Male,29,1,No
FTN2024-0146,Baton (non-strike),L1,Yes,White,Male,29,1,No
FTN2023-0425,Force (Take Down),L2,Yes,White,Male,29,1,No
FTN2023-0520,Hands,L1,Yes,Hispanic,Female,29,1,No
FTN2023-0381,CEW Deployment,L2,No,White,Male,29,1,No
FTN2023-0494,CEW Deployment,L2,Yes,White,Male,29,1,No
FTN2024-0128,Hands,L1,Yes,Black,Male,29,1,No
FTN2024-0017,Force (Take Down),L2,Yes,White,Male,29,1,No
FTN2023-0288,Firearm (Exhibited),L1,Yes,Hispanic,Male,29,1,No
FTN2023-0434,Takedown (no injury),L1,Yes,White,Male,29,1,No
FTN2024-0112,CEW Deployment,L2,Yes,White,Male,30,1,No
FTN2024-0019,Takedown (no injury),L1,Yes,White,Male,30,1,No
FTN2024-0161,Hands,L1,Yes,Black,Male,30,1,No
FTN2023-0512,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,30,1,No
FTN2024-0054,Force (Take Down),L2,Yes,White,Male,30,1,No
FTN2024-0091,Firearm (Exhibited),L1,Yes,White,Male,30,1,No
FTN2024-0039,Hands,L1,Yes,White,Male,30,1,No
FTN2024-0164,Hands,L1,Yes,White,Male,30,1,No
FTN2024-0156,Hands,L1,Yes,White,Male,30,1,No
FTN2024-0156,CEW Deployment,L2,Yes,White,Male,30,1,No
FTN2021-0080,CEW Deployment,L2,Yes,Black,Female,31,1,No
FTN2021-0311,CEW Deployment,L4,Yes,Black,Female,31,1,Yes
FTN2023-0437,Hands,L1,Yes,White,Male,31,1,No
FTN2024-0080,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0125,Hands,L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0125,Takedown (no injury),L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0167,Firearm (Exhibited),L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0156,Hands,L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0156,Takedown (no injury),L1,Yes,Asian/Pacific Islander,Male,31,1,No
FTN2024-0153,Other,L1,Yes,Black,Male,32,1,No
FTN2022-0076,Firearm (Exhibited),L1,No,Black,Female,32,1,No
FTN2024-0104,Force (Take Down),L2,Yes,White,Male,32,1,No
FTN2023-0416,Force (Escort Tech),L1,Yes,White,Male,32,1,No
FTN2023-0416,Hands,L1,Yes,White,Male,32,1,No
FTN2024-0027,Takedown (no injury),L1,Yes,White,Male,33,1,No
FTN2023-0526,CEW Deployment,L2,Yes,Black,Female,33,1,No
FTN2023-0501,Firearm (Exhibited),L1,Yes,Black,Female,33,1,No
FTN2024-0092,CEW Deployment,L2,No,Black,Female,34,1,No
FTN2024-0153,Other,L1,Yes,White,Female,37,1,No
FTN2022-0218,Hands,L1,Yes,Black,Male,38,1,No
FTN2024-0070,Firearm (Exhibited),L1,No,Black,Male,38,1,No
FTN2023-0517,Firearm (Exhibited),L1,Yes,Black,Male,39,1,No
FTN2023-0424,Hands,L1,Yes,Black,Male,39,1,No
FTN2024-0150,CEW Deployment,L2,Yes,Black,Male,40,1,No
FTN2022-0198,Firearm (Exhibited),L1,Yes,White,Male,45,1,No
FTN2023-0246,Firearm (Exhibited),L1,Yes,White,Male,46,1,No
FTN2018-0297,Hands,L1,Yes,Black,Male,46,1,No
FTN2023-0430,Hands,L1,Yes,White,Male,46,1,No
FTN2023-0270,Handcuffed Subject,L4,Yes,White,Male,46,1,Yes
FTN2024-0185,Takedown (no injury),L1,Yes,Black,Male,46,1,No
FTN2023-0309,Hands,L1,Yes,White,Male,46,1,No
FTN2023-0287,Firearm (Exhibited),L1,No,White,Male,46,1,No
FTN2023-0294,CEW Deployment,L2,Yes,White,Male,46,1,No
FTN2023-0345,Takedown (no injury),L1,Yes,White,Male,46,1,No
FTN2023-0387,CEW Deployment,L2,No,White,Male,46,1,No
FTN2023-0432,Force (Take Down),L2,Yes,White,Male,46,1,No
FTN2024-0156,Hands,L1,Yes,White,Male,47,1,No
FTN2020-0098,Hands,L1,Yes,Black,Male,48,1,No
FTN2023-0436,Hands,L1,Yes,White,Male,50,1,No
FTN2023-0494,CEW Deployment,L4,Yes,White,Male,50,1,No
FTN2024-0067,Hands,L1,Yes,White,Male,51,1,No
FTN2024-0039,Hands,L1,Yes,White,Male,51,1,No
FTN2016-0361,Firearm (Exhibited),L1,Yes,Black,Male,52,1,No
FTN2016-0547,Firearm (Exhibited),L1,Yes,Black,Male,52,1,No
FTN2016-0046,Hands,L1,Yes,Black,Male,52,1,No
FTN2017-0598,Firearm (Exhibited),L1,Yes,Black,Male,53,1,No
FTN2018-0081,CEW Exhibited/Laser,L1,Yes,Black,Male,54,1,No
FTN2018-0224,CEW Deployment,L2,No,Black,Male,54,1,No
FTN2024-0187,Hands,L1,Yes,White,Male,56,1,No
FTN2016-0382,Hands,L1,Yes,White,Male,56,1,Yes
FTN2016-0382,Force (Take Down),L2,Yes,White,Male,56,1,Yes
FTN2016-0168,Hands,L1,Yes,White,Male,56,1,No
FTN2017-0030,Force (Defense Tech),L2,Yes,White,Male,57,1,No
FTN2017-0030,Force (Take Down),L2,Yes,White,Male,57,1,No
FTN2018-0006,Head Strike (No Wep),L3,Yes,Black,Male,61,1,No
FTN2022-0406,Force (Take Down),L2,Yes,Black,Male,65,1,No
FTN2016-0605,Force (Escort Tech),L1,Yes,Black,Female,26,10,No
FTN2016-0383,Firearm (Exhibited),L1,Yes,White,Male,26,10,No
FTN2016-0383,Hands,L1,Yes,White,Male,26,10,No
FTN2016-0361,Firearm (Exhibited),L1,Yes,Unknown,Male,27,10,No
FTN2016-0331,Firearm (Exhibited),L1,Yes,Unknown,Male,27,10,No
FTN2016-0331,Force (Escort Tech),L1,Yes,Unknown,Male,27,10,No
FTN2016-0017,Force (Take Down),L2,Yes,Unknown,Male,27,10,No
FTN2016-0018,CEW Deployment,L2,No,Unknown,Male,27,10,No
FTN2016-0018,Force (Take Down),L2,Yes,Unknown,Male,27,10,No
FTN2017-0578,Rifle (Pointed),L1,Yes,White,Male,27,10,No
FTN2017-0511,Hands,L1,Yes,Black,Female,27,10,No
FTN2016-0309,Other,L1,Yes,White,Male,27,10,No
FTN2016-0442,CEW Exhibited/Laser,L1,Yes,White,Male,27,10,No
FTN2016-0104,Hands,L1,Yes,White,Male,27,10,No
FTN2016-0251,CEW Exhibited/Laser,L1,No,Black,Male,28,10,Yes
FTN2017-0206,Force (Escort Tech),L1,Yes,White,Male,28,10,No
FTN2017-0493,Force (Defense Tech),L2,Yes,Unknown,Male,28,10,No
FTN2017-0025,CEW Exhibited/Laser,L1,No,White,Male,28,10,No
FTN2017-0330,Firearm (Exhibited),L1,Yes,Unknown,Male,28,10,No
FTN2017-0251,Firearm (Exhibited),L1,Yes,Unknown,Male,28,10,No
FTN2018-0144,Firearm (Exhibited),L1,Yes,White,Male,28,10,No
FTN2016-0334,Firearm (Exhibited),L1,Yes,Black,Male,28,10,No
FTN2017-0400,Firearm (Exhibited),L1,Yes,White,Male,28,10,No
FTN2016-0175,Firearm (Exhibited),L1,No,Black,Male,28,10,No
FTN2017-0341,Firearm (Exhibited),L1,Yes,White,Male,28,10,No
FTN2017-0102,Firearm (Exhibited),L1,Yes,White,Male,28,10,No
FTN2017-0150,Hands,L1,Yes,Black,Male,29,10,Yes
FTN2017-0397,Firearm (Exhibited),L1,Yes,Black,Male,29,10,No
FTN2018-0163,Firearm (Exhibited),L1,Yes,White,Male,29,10,No
FTN2018-0038,Firearm (Exhibited),L1,Yes,White,Male,29,10,No
FTN2017-0516,Firearm (Exhibited),L1,Yes,Black,Male,29,10,No
FTN2017-0645,Force (Take Down),L2,Yes,Black,Male,29,10,No
FTN2019-0038,Hands,L1,Yes,White,Male,29,10,No
FTN2017-0423,CEW Exhibited/Laser,L1,No,Black,Male,29,10,No
FTN2017-0423,Firearm (Exhibited),L1,Yes,Black,Male,29,10,No
FTN2016-0284,Force (Escort Tech),L1,Yes,White,Male,29,10,No
FTN2017-0062,Hands,L1,Yes,Black,Male,29,10,No
FTN2017-0319,Firearm (Exhibited),L1,Yes,Black,Male,29,10,No
FTN2016-0646,CEW Deployment,L2,No,Black,Female,29,10,No
FTN2018-0163,Firearm (Exhibited),L1,Yes,Unknown,Male,29,10,No
FTN2018-0021,Firearm (Exhibited),L1,Yes,Unknown,Male,29,10,No
FTN2016-0012,Firearm (Exhibited),L1,Yes,Black,Female,29,10,No
FTN2017-0324,Firearm (Exhibited),L1,Yes,Black,Female,30,10,No
FTN2018-0120,Firearm (Exhibited),L1,Yes,Black,Male,30,10,No
FTN2016-0008,Hands,L1,Yes,White,Male,30,10,Yes
FTN2020-0002,Hands,L1,Yes,Black,Female,30,10,No
FTN2020-0048,Hands,L1,Yes,Black,Female,30,10,Yes
FTN2017-0303,Firearm (Exhibited),L1,Yes,Black,Female,30,10,No
FTN2020-0264,Hands,L1,No,Black,Female,30,10,No
FTN2019-0177,Takedown (no injury),L1,Yes,Unknown,Male,30,10,No
FTN2019-0066,Hands,L1,Yes,Unknown,Male,30,10,No
FTN2019-0066,Rifle (Pointed),L1,Yes,Unknown,Male,30,10,No
FTN2018-0216,Firearm (Exhibited),L1,Yes,Black,Male,30,10,No
FTN2016-0131,Hands,L1,Yes,White,Male,30,10,No
FTN2017-0044,CEW Exhibited/Laser,L1,Yes,Black,Female,30,10,No
FTN2016-0124,Hands,L1,Yes,White,Male,30,10,No
FTN2017-0351,CEW Deployment,L2,No,White,Male,31,10,Yes
FTN2017-0488,Firearm (Exhibited),L1,Yes,White,Male,31,10,No
FTN2021-0114,Hands,L1,Yes,Black,Female,31,10,No
FTN2021-0017,Hands (with injury),L2,Yes,Black,Female,31,10,No
FTN2017-0007,CEW Deployment,L2,No,White,Male,31,10,Yes
FTN2018-0398,Hands,L1,Yes,White,Male,32,10,No
FTN2018-0390,Firearm (Exhibited),L1,Yes,White,Male,32,10,No
FTN2019-0165,CEW Deployment,L2,No,Black,Female,32,10,No
FTN2018-0389,Firearm (Exhibited),L1,Yes,White,Male,32,10,No
FTN2018-0170,Firearm (Exhibited),L1,Yes,Black,Female,32,10,No
FTN2019-0017,CEW Deployment,L2,Yes,White,Male,32,10,Yes
FTN2018-0261,Firearm (Exhibited),L1,Yes,White,Male,32,10,No
FTN2018-0315,Firearm (Exhibited),L1,Yes,White,Male,32,10,No
FTN2018-0299,Firearm (Exhibited),L1,Yes,White,Male,32,10,No
FTN2019-0184,CEW Deployment,L2,Yes,White,Male,33,10,No
FTN2020-0270,Hands,L1,Yes,White,Male,33,10,No
FTN2020-0277,Hands,L1,Yes,Black,Female,33,10,No
FTN2020-0215,Hands,L1,Yes,White,Male,33,10,No
FTN2017-0421,Hands,L1,Yes,White,Female,33,10,No
FTN2018-0070,Force (Take Down),L2,Yes,White,Male,34,10,No
FTN2020-0149,Takedown (no injury),L1,No,White,Male,34,10,No
FTN2020-0282,Hands,L1,Yes,White,Male,34,10,No
FTN2020-0333,Hands,L1,Yes,White,Male,34,10,No
FTN2020-0199,Firearm (Exhibited),L1,Yes,White,Male,34,10,No
FTN2024-0018,Firearm (Exhibited),L1,Yes,Black,Female,34,10,No
FTN2022-0422,Firearm (Exhibited),L1,Yes,Black,Male,34,10,No
FTN2022-0302,Hands,L1,Yes,Black,Male,34,10,No
FTN2021-0213,Force (Escort Tech),L1,Yes,White,Male,35,10,No
FTN2021-0415,Other,L2,No,White,Male,35,10,No
FTN2021-0420,Hands,L1,Yes,White,Male,35,10,No
FTN2021-0228,Hands,L1,Yes,White,Male,35,10,No
FTN2019-0175,Firearm (Exhibited),L1,No,White,Female,35,10,No
FTN2022-0093,CEW Deployment,L2,No,Black,Female,36,10,Yes
FTN2020-0043,Firearm (Exhibited),L1,No,White,Male,36,10,No
FTN2022-0071,Takedown (no injury),L1,Yes,White,Male,36,10,No
FTN2016-0541,Force (Take Down),L2,Yes,White,Male,36,10,No
FTN2016-0514,Force (Take Down),L2,Yes,White,Male,36,10,No
FTN2016-0486,Hands,L1,Yes,White,Male,36,10,No
FTN2022-0007,Rifle (Pointed),L1,No,White,Male,38,10,No
FTN2016-0233,Firearm (Exhibited),L1,Yes,White,Male,38,10,No
FTN2016-0423,CEW Deployment,L2,Yes,White,Male,38,10,No
FTN2017-0612,Firearm (Exhibited),L1,No,White,Male,39,10,No
FTN2017-0578,Firearm (Exhibited),L1,Yes,White,Male,39,10,No
FTN2016-0438,Hands,L1,Yes,White,Female,39,10,No
FTN2017-0406,Force (Take Down),L2,Yes,White,Male,39,10,No
FTN2017-0141,Hands,L1,Yes,White,Male,39,10,No
FTN2016-0621,Force (Take Down),L2,Yes,White,Female,39,10,No
FTN2016-0622,Hands,L1,Yes,White,Female,39,10,No
FTN2016-0382,Hands,L1,Yes,White,Female,39,10,Yes
FTN2016-0382,Force (Take Down),L2,Yes,White,Female,39,10,Yes
FTN2016-0599,Force (Escort Tech),L1,Yes,White,Female,39,10,No
FTN2016-0541,Force (Take Down),L2,Yes,White,Female,39,10,No
FTN2016-0514,Force (Take Down),L2,Yes,White,Female,39,10,No
FTN2016-0143,Hands,L1,Yes,White,Female,39,10,No
FTN2016-0146,Hands,L1,Yes,White,Female,39,10,No
FTN2016-0168,Hands,L1,Yes,White,Female,39,10,No
FTN2016-0350,Hands,L1,Yes,White,Female,39,10,No
FTN2017-0116,Hands,L1,Yes,White,Male,39,10,No
FTN2016-0446,Force (Take Down),L2,Yes,White,Female,39,10,No
FTN2018-0470,CEW Deployment,L2,No,White,Male,40,10,Yes
FTN2018-0406,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2018-0033,CEW Exhibited/Laser,L1,Yes,White,Male,40,10,Yes
FTN2018-0368,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2018-0128,Hands,L1,Yes,White,Male,40,10,Yes
FTN2018-0408,Firearm (Exhibited),L1,No,White,Male,40,10,No
FTN2018-0144,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2016-0373,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2016-0341,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2016-0007,Firearm (Exhibited),L1,Yes,White,Male,40,10,No
FTN2017-0498,Hands,L1,No,White,Male,41,10,No
FTN2023-0289,Firearm (Exhibited),L1,Yes,White,Female,42,10,No
FTN2018-0186,Takedown (no injury),L1,Yes,White,Male,42,10,No
FTN2018-0196,CEW Deployment,L4,Yes,White,Male,42,10,No
FTN2023-0099,Firearm (Exhibited),L1,Yes,White,Female,42,10,No
FTN2019-0172,Hands,L1,Yes,White,Male,43,10,No
FTN2018-0367,Hands,L1,Yes,White,Male,44,10,Yes
FTN2020-0249,Force (Escort Tech),L1,Yes,White,Male,44,10,No
FTN2021-0339,Head Strike (No Wep),L3,Yes,White,Male,45,10,Yes
FTN2020-0141,Force (Take Down),L2,Yes,White,Male,46,10,Yes
FTN2021-0082,Hands (with injury),L2,Yes,White,Male,47,10,No
FTN2023-0233,Other,L1,Yes,White,Male,47,10,No
FTN2016-0323,Firearm (Exhibited),L1,Yes,Black,Male,26,11,No
FTN2016-0375,Firearm (Exhibited),L1,No,Black,Male,26,11,No
FTN2016-0014,Hands,L1,No,Black,Male,26,11,No
FTN2016-0425,Firearm (Exhibited),L1,Yes,Black,Male,27,11,No
FTN2016-0301,Hands,L1,Yes,Black,Male,27,11,No
FTN2016-0301,Force (Take Down),L2,Yes,Black,Male,27,11,No
FTN2016-0569,Hands,L1,Yes,Black,Male,27,11,No
FTN2016-0043,Firearm (Exhibited),L1,No,Black,Male,27,11,No
FTN2016-0090,CEW Exhibited/Laser,L1,Yes,Black,Male,27,11,No
FTN2016-0050,CEW Exhibited/Laser,L1,Yes,Black,Male,27,11,No
FTN2016-0021,CEW Exhibited/Laser,L1,No,Black,Male,27,11,No
FTN2016-0021,Force (Take Down),L2,Yes,Black,Male,27,11,No
FTN2016-0099,Other,L1,Yes,Black,Male,27,11,No
FTN2016-0622,Hands,L1,Yes,White,Male,27,11,No
FTN2016-0344,Hands,L1,Yes,White,Male,27,11,No
FTN2016-0075,Force (Escort Tech),L1,Yes,White,Male,27,11,No
FTN2016-0265,Hands,L1,Yes,Black,Male,27,11,No
FTN2016-0265,Force (Take Down),L2,Yes,Black,Male,27,11,No
FTN2016-0120,Hands,L1,Yes,Black,Male,27,11,No
FTN2016-0541,Hands,L1,Yes,White,Male,27,11,No
FTN2016-0514,Force (Take Down),L2,Yes,White,Male,27,11,No
FTN2016-0005,CEW Deployment,L2,No,Black,Male,27,11,Yes
FTN2016-0016,Hands,L1,Yes,Black,Male,27,11,No
FTN2017-0158,Force (Take Down),L2,Yes,Black,Male,27,11,No
FTN2016-0168,Force (Escort Tech),L1,Yes,White,Male,27,11,No
FTN2017-0171,Force (Take Down),L2,Yes,Black,Male,27,11,No
FTN2016-0287,Hands,L1,Yes,Black,Male,27,11,No
FTN2016-0350,Force (Escort Tech),L1,Yes,White,Male,27,11,No
FTN2016-0446,Force (Take Down),L2,Yes,White,Male,27,11,No
FTN2017-0587,Hands,L1,Yes,White,Male,28,11,No
FTN2018-0364,Hands,L1,Yes,Black,Male,28,11,No
FTN2017-0436,CEW Exhibited/Laser,L1,Yes,Black,Male,28,11,No
FTN2016-0647,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2018-0469,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2017-0481,Force (Take Down),L2,Yes,Black,Male,28,11,No
FTN2017-0147,Force (Take Down),L2,Yes,Black,Male,28,11,No
FTN2017-0359,Hands,L1,No,Black,Male,28,11,No
FTN2017-0090,Firearm (Exhibited),L1,No,Black,Male,28,11,No
FTN2017-0090,Head Strike (No Wep),L3,Yes,Black,Male,28,11,No
FTN2017-0090,CEW Exhibited/Laser,L1,No,Black,Male,28,11,No
FTN2016-0254,CEW Deployment,L2,No,Black,Male,28,11,No
FTN2016-0532,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2016-0582,Hands,L1,Yes,Black,Male,28,11,No
FTN2016-0434,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2016-0132,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2017-0114,CEW Deployment,L2,Yes,Black,Male,28,11,No
FTN2017-0020,Force (Take Down),L2,Yes,White,Male,28,11,No
FTN2017-0100,Firearm (Exhibited),L1,Yes,Black,Male,28,11,No
FTN2017-0592,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2017-0568,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2017-0488,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2017-0621,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2018-0135,Hands,L1,No,White,Male,29,11,No
FTN2019-0007,Firearm (Discharged),L4,Yes,Black,Male,29,11,No
FTN2017-0382,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2017-0626,Hands,L1,Yes,White,Female,29,11,No
FTN2017-0493,Hands,L1,Yes,Black,Male,29,11,No
FTN2017-0493,Force (Defense Tech),L2,Yes,Black,Male,29,11,No
FTN2018-0261,Firearm (Exhibited),L1,Yes,White,Male,29,11,No
FTN2017-0538,Firearm (Exhibited),L1,Yes,White,Female,29,11,No
FTN2017-0444,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2017-0037,Firearm (Exhibited),L1,Yes,Black,Male,29,11,No
FTN2018-0034,Firearm (Exhibited),L1,Yes,Black,Male,30,11,No
