PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Subject Count,Officer Count
FTN2016-0166,3/23/2016,FOB - Field Operations Bureau,4th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0167,3/23/2016,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,4
FTN2016-0169,3/26/2016,FOB - Field Operations Bureau,6th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0168,3/26/2016,FOB - Field Operations Bureau,8th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,4
FTN2016-0173,3/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2
FTN2016-0174,3/28/2016,FOB - Field Operations Bureau,4th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1
FTN2016-0194,3/29/2016,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,6
FTN2016-0158,3/14/2016,FOB - Field Operations Bureau,1st District,B Platoon,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2016-0175,3/29/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,1,2
FTN2016-0179,3/30/2016,FOB - Field Operations Bureau,7th District,Night Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,2
FTN2016-0177,3/30/2016,FOB - Field Operations Bureau,4th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2016-0176,3/30/2016,FOB - Field Operations Bureau,5th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,2
FTN2016-0178,3/31/2016,FOB - Field Operations Bureau,8th District,Mounted,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2016-0180,3/31/2016,FOB - Field Operations Bureau,4th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0183,4/1/2016,FOB - Field Operations Bureau,8th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1
FTN2016-0182,4/1/2016,FOB - Field Operations Bureau,7th District,Night Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Light,1,1
FTN2016-0187,4/4/2016,FOB - Field Operations Bureau,5th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0186,4/4/2016,FOB - Field Operations Bureau,8th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,4
FTN2016-0188,4/4/2016,MSB - Management Services Bureau,Education and Training Division,Training Section,Staff,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2016-0189,4/4/2016,FOB - Field Operations Bureau,6th District,D.I.U.,Property,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1
